what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"cocoa",1269948536604
locale,sysinfo,,,"de_DE",1269948536604
processors,sysinfo,,,"2",1269948536604
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1269948536604
java.runtime.version,sysinfo,,,"1.6.0_17-b04-248-10M3025",1269948536604
java.specification.name,sysinfo,,,"Java Platform API Specification",1269948536604
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269948536604
java.specification.version,sysinfo,,,"1.6",1269948536604
java.vendor,sysinfo,,,"Apple Inc.",1269948536604
java.version,sysinfo,,,"1.6.0_17",1269948536604
java.vm.info,sysinfo,,,"mixed mode",1269948536604
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1269948536604
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1269948536604
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1269948536604
java.vm.specification.version,sysinfo,,,"1.0",1269948536604
java.vm.vendor,sysinfo,,,"Apple Inc.",1269948536604
java.vm.version,sysinfo,,,"14.3-b01-101",1269948536604
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269948536958
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269948539376
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1269948540114
started,bundle,org.deved.antlride.gunit.core,1.0.0.201003182110,"org.deved.antlride.gunit.core",1269948542712
started,bundle,org.deved.antlride.stringtemplate.core,1.0.0.201003182110,"org.deved.antlride.stringtemplate.core",1269948542713
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1269948543193
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1269948543204
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1269948543210
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269948544472
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269948545749
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269948545793
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269948547090
started,bundle,org.deved.antlride.common.ui,2.0.1.201003182110,"org.deved.antlride.common.ui",1269948548335
started,bundle,org.eclipse.draw2d,3.5.2.v20091126-1908,"org.eclipse.draw2d",1269948548369
started,bundle,org.eclipse.dltk.formatter,1.0.1.v20090903-2153,"org.eclipse.dltk.formatter",1269948548628
started,bundle,org.deved.antlride.formatter,1.0.0.201003182110,"org.deved.antlride.formatter",1269948548628
started,bundle,org.deved.antlride.viz,2.0.1.201003182110,"org.deved.antlride.viz",1269948549152
started,bundle,org.deved.antlride.clapham,0.1.3.201003182110,"org.deved.antlride.clapham",1269948549162
opened,editor,org.deved.antlride.ui,2.0.1.201003182110,"org.deved.antlride.ui.antlrEditor",1269948549180
activated,editor,org.deved.antlride.ui,2.0.1.201003182110,"org.deved.antlride.ui.antlrEditor",1269948549331
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269948549490
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269948554069
error,log,,,"preference option missing: org.deved.antlride.core/antlr_core_builder_runtime (org.deved.antlride.internal.ui.preferences.AntlrBuilderBlock)",1269948554237
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269948554274
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950577179
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1269950587136
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1269950590777
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineEnd",1269950590996
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1269950597864
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1269950599698
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1269950601107
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1269950601446
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269950603608
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1269950603945
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269950606574
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950611558
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950622876
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950623130
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950623223
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269950628333
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269950629460
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950632354
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950636235
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950636453
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950636517
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950638836
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269950639051
activated,editor,org.deved.antlride.ui,2.0.1.201003182110,"org.deved.antlride.ui.antlrEditor",1269950639859
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950645230
started,bundle,org.eclipse.mylyn.java.tasks,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.tasks",1269950646961
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269950647014
activated,editor,org.deved.antlride.ui,2.0.1.201003182110,"org.deved.antlride.ui.antlrEditor",1269950648914
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950654290
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269950656914
activated,editor,org.deved.antlride.ui,2.0.1.201003182110,"org.deved.antlride.ui.antlrEditor",1269950657810
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1269950658539
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950661636
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269950663280
activated,editor,org.deved.antlride.ui,2.0.1.201003182110,"org.deved.antlride.ui.antlrEditor",1269950664710
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1269950665539
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269950669136
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1269950670978
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1269950671408
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1269950672288
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1269950678570
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269950680448
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269950707121
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950713741
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950715039
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1269950715078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950717838
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950728064
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1269950728104
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950739298
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950744924
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950747883
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1269950748807
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1269950750060
started,bundle,org.eclipse.mylyn.java.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.java.ui",1269950751875
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1269950752230
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950754215
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950757348
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1269950758235
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1269950761453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1269950763472
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1269950767130
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1269950770530
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950773506
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950776218
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1269950776417
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269950786082
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950786918
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950787191
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950791719
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1269950799142
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1269950800515
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1269950800996
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1269950804251
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1269950805391
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1269950812965
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950817520
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1269950819265
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1269950819380
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950821235
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1269950824594
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1269950825953
